date,account_id,campaign_id,campaign_name,impressions,clicks,spend_micros,conversions
2025-04-18,111-222-3333,g-0001,Top Gun: Maverick Push,248175,3400,2741784906,43
2025-04-18,111-222-3333,g-0002,Transformers: Rise of the Beasts,237810,3258,2627543869,41
2025-04-18,111-222-3333,g-0003,Comedy Classics Retargeting East Google,108540,1487,1199530897,19
2025-04-18,111-222-3333,g-0004,Sports Weekend Trial Midwest Google,119781,1641,1323292021,21
2025-04-18,111-222-3333,g-0005,Kids and Family Winback South Google,130949,1794,1447053145,23
2025-04-18,111-222-3333,g-0006,Reality Launch Awareness US Google,142190,1948,1570814269,25
2025-04-18,111-222-3333,g-0007,Sci-Fi Vault Prospecting West Google,153358,2101,1694575394,26
2025-04-18,111-222-3333,g-0008,Movie Night Retargeting East Google,164599,2255,1818336518,28
2025-04-18,111-222-3333,g-0009,Holiday Watchlist Trial Midwest Google,175766,2408,1942097642,30
2025-04-18,111-222-3333,g-0010,Live Events Winback South Google,86131,1180,952008648,15
2025-04-18,111-222-3333,g-0011,Library Retention Awareness US Google,97372,1334,1075769772,17
2025-04-18,111-222-3333,g-0012,Premium Bundle Prospecting West Google,108540,1487,1199530897,19
2025-04-18,111-222-3333,g-0013,Student Offer Retargeting East Google,119781,1641,1323292021,21
2025-04-18,111-222-3333,g-0014,Family Plan Trial Midwest Google,130949,1794,1447053145,23
2025-04-18,111-222-3333,g-0015,Winback Audience Winback South Google,142190,1948,1570814269,25
2025-04-18,111-222-3333,g-0016,New Release Awareness US Google,153358,2101,1694575394,26
2025-04-18,111-222-3333,g-0017,Binge Weekend Prospecting West Google,164599,2255,1818336518,28
2025-04-18,111-222-3333,g-0018,Award Season Retargeting East Google,175766,2408,1942097642,30
2025-04-18,111-222-3333,g-0019,Streaming Trial Trial Midwest Google,86131,1180,952008648,15
2025-04-18,111-222-3333,g-0020,International Pack Winback South Google,97372,1334,1075769772,17
2025-04-18,111-222-3333,g-0021,Paramount+ Originals Awareness US Google,108540,1487,1199530897,19
2025-04-18,111-222-3333,g-0022,Drama Collection Prospecting West Google,119781,1641,1323292021,21
2025-04-18,111-222-3333,g-0023,Comedy Classics Retargeting East Google 23,130949,1794,1447053145,23
2025-04-18,111-222-3333,g-0024,Sports Weekend Trial Midwest Google 24,142190,1948,1570814269,25
2025-04-18,111-222-3333,g-0025,Kids and Family Winback South Google 25,153358,2101,1694575394,26
2025-04-19,111-222-3333,g-0001,Top Gun: Maverick Push,224161,3071,2759666112,48
2025-04-19,111-222-3333,g-0002,Transformers: Rise of the Beasts,214818,2943,2644680024,46
2025-04-19,111-222-3333,g-0003,Comedy Classics Retargeting East Google,98102,1344,1207353924,21
2025-04-19,111-222-3333,g-0004,Sports Weekend Trial Midwest Google,108175,1482,1331922186,23
2025-04-19,111-222-3333,g-0005,Kids and Family Winback South Google,118321,1621,1456490448,25
2025-04-19,111-222-3333,g-0006,Reality Launch Awareness US Google,128467,1760,1581058710,28
2025-04-19,111-222-3333,g-0007,Sci-Fi Vault Prospecting West Google,138540,1898,1705626972,30
2025-04-19,111-222-3333,g-0008,Movie Night Retargeting East Google,148686,2037,1830195234,32
2025-04-19,111-222-3333,g-0009,Holiday Watchlist Trial Midwest Google,158832,2176,1954763496,34
2025-04-19,111-222-3333,g-0010,Live Events Winback South Google,77810,1066,958217400,17
2025-04-19,111-222-3333,g-0011,Library Retention Awareness US Google,87956,1205,1082785662,19
2025-04-19,111-222-3333,g-0012,Premium Bundle Prospecting West Google,98102,1344,1207353924,21
2025-04-19,111-222-3333,g-0013,Student Offer Retargeting East Google,108175,1482,1331922186,23
2025-04-19,111-222-3333,g-0014,Family Plan Trial Midwest Google,118321,1621,1456490448,25
2025-04-19,111-222-3333,g-0015,Winback Audience Winback South Google,128467,1760,1581058710,28
2025-04-19,111-222-3333,g-0016,New Release Awareness US Google,138540,1898,1705626972,30
2025-04-19,111-222-3333,g-0017,Binge Weekend Prospecting West Google,148686,2037,1830195234,32
2025-04-19,111-222-3333,g-0018,Award Season Retargeting East Google,158832,2176,1954763496,34
2025-04-19,111-222-3333,g-0019,Streaming Trial Trial Midwest Google,77810,1066,958217400,17
2025-04-19,111-222-3333,g-0020,International Pack Winback South Google,87956,1205,1082785662,19
2025-04-19,111-222-3333,g-0021,Paramount+ Originals Awareness US Google,98102,1344,1207353924,21
2025-04-19,111-222-3333,g-0022,Drama Collection Prospecting West Google,108175,1482,1331922186,23
2025-04-19,111-222-3333,g-0023,Comedy Classics Retargeting East Google 23,118321,1621,1456490448,25
2025-04-19,111-222-3333,g-0024,Sports Weekend Trial Midwest Google 24,128467,1760,1581058710,28
2025-04-19,111-222-3333,g-0025,Kids and Family Winback South Google 25,138540,1898,1705626972,30
2025-04-20,111-222-3333,g-0001,Top Gun: Maverick Push,229927,3150,2777547318,48
2025-04-20,111-222-3333,g-0002,Transformers: Rise of the Beasts,220365,3019,2661816180,46
2025-04-20,111-222-3333,g-0003,Comedy Classics Retargeting East Google,100584,1378,1215176952,21
2025-04-20,111-222-3333,g-0004,Sports Weekend Trial Midwest Google,110949,1520,1340552351,23
2025-04-20,111-222-3333,g-0005,Kids and Family Winback South Google,121387,1663,1465927751,25
2025-04-20,111-222-3333,g-0006,Reality Launch Awareness US Google,131752,1805,1591303151,27
2025-04-20,111-222-3333,g-0007,Sci-Fi Vault Prospecting West Google,142117,1947,1716678551,29
2025-04-20,111-222-3333,g-0008,Movie Night Retargeting East Google,152482,2089,1842053951,32
2025-04-20,111-222-3333,g-0009,Holiday Watchlist Trial Midwest Google,162847,2231,1967429350,34
2025-04-20,111-222-3333,g-0010,Live Events Winback South Google,79854,1094,964426152,17
2025-04-20,111-222-3333,g-0011,Library Retention Awareness US Google,90219,1236,1089801552,19
2025-04-20,111-222-3333,g-0012,Premium Bundle Prospecting West Google,100584,1378,1215176952,21
2025-04-20,111-222-3333,g-0013,Student Offer Retargeting East Google,110949,1520,1340552351,23
2025-04-20,111-222-3333,g-0014,Family Plan Trial Midwest Google,121387,1663,1465927751,25
2025-04-20,111-222-3333,g-0015,Winback Audience Winback South Google,131752,1805,1591303151,27
2025-04-20,111-222-3333,g-0016,New Release Awareness US Google,142117,1947,1716678551,29
2025-04-20,111-222-3333,g-0017,Binge Weekend Prospecting West Google,152482,2089,1842053951,32
2025-04-20,111-222-3333,g-0018,Award Season Retargeting East Google,162847,2231,1967429350,34
2025-04-20,111-222-3333,g-0019,Streaming Trial Trial Midwest Google,79854,1094,964426152,17
2025-04-20,111-222-3333,g-0020,International Pack Winback South Google,90219,1236,1089801552,19
