date,account_id,campaign_id,campaign_name,impressions,clicks,spend,conversions
2025-04-18,ms_334455,ms-0001,Mission: Impossible - Dead Reckoning,78990,782,991.59,9
2025-04-18,ms_334455,ms-0002,Drama Collection Prospecting West Microsoft,31010,307,389.06,4
2025-04-18,ms_334455,ms-0003,Comedy Classics Retargeting East Microsoft,34545,342,433.82,4
2025-04-18,ms_334455,ms-0004,Sports Weekend Trial Midwest Microsoft,38081,377,478.58,5
2025-04-18,ms_334455,ms-0005,Kids and Family Winback South Microsoft,41717,413,523.34,5
2025-04-18,ms_334455,ms-0006,Reality Launch Awareness US Microsoft,45253,448,568.1,5
2025-04-18,ms_334455,ms-0007,Sci-Fi Vault Prospecting West Microsoft,48788,483,612.86,6
2025-04-18,ms_334455,ms-0008,Movie Night Retargeting East Microsoft,52323,518,657.62,6
2025-04-19,ms_334455,ms-0001,Mission: Impossible - Dead Reckoning,81010,802,998.06,9
2025-04-19,ms_334455,ms-0002,Drama Collection Prospecting West Microsoft,31818,315,391.6,4
2025-04-19,ms_334455,ms-0003,Comedy Classics Retargeting East Microsoft,35455,351,436.65,4
2025-04-19,ms_334455,ms-0004,Sports Weekend Trial Midwest Microsoft,39091,387,481.7,5
2025-04-19,ms_334455,ms-0005,Kids and Family Winback South Microsoft,42727,423,526.75,5
2025-04-19,ms_334455,ms-0006,Reality Launch Awareness US Microsoft,46364,459,571.81,5
2025-04-19,ms_334455,ms-0007,Sci-Fi Vault Prospecting West Microsoft,50101,496,616.86,6
2025-04-19,ms_334455,ms-0008,Movie Night Retargeting East Microsoft,53737,532,661.91,6
2025-04-20,ms_334455,ms-0001,Mission: Impossible - Dead Reckoning,83030,822,1004.53,9
2025-04-20,ms_334455,ms-0002,Drama Collection Prospecting West Microsoft,32626,323,394.14,4
2025-04-20,ms_334455,ms-0003,Comedy Classics Retargeting East Microsoft,36364,360,439.48,4
2025-04-20,ms_334455,ms-0004,Sports Weekend Trial Midwest Microsoft,40101,397,484.82,4
2025-04-20,ms_334455,ms-0005,Kids and Family Winback South Microsoft,43838,434,530.17,5
2025-04-20,ms_334455,ms-0006,Reality Launch Awareness US Microsoft,47576,471,575.51,5
2025-04-20,ms_334455,ms-0007,Sci-Fi Vault Prospecting West Microsoft,51313,508,620.85,6
2025-04-20,ms_334455,ms-0008,Movie Night Retargeting East Microsoft,55051,545,666.2,6
2025-04-21,ms_334455,ms-0001,Mission: Impossible - Dead Reckoning,75960,752,902.67,8
2025-04-21,ms_334455,ms-0002,Drama Collection Prospecting West Microsoft,29798,295,354.17,3
2025-04-21,ms_334455,ms-0003,Comedy Classics Retargeting East Microsoft,33232,329,394.92,4
2025-04-21,ms_334455,ms-0004,Sports Weekend Trial Midwest Microsoft,36667,363,435.66,4
2025-04-21,ms_334455,ms-0005,Kids and Family Winback South Microsoft,40101,397,476.41,4
2025-04-21,ms_334455,ms-0006,Reality Launch Awareness US Microsoft,43535,431,517.16,5
2025-04-21,ms_334455,ms-0007,Sci-Fi Vault Prospecting West Microsoft,46970,465,557.9,5
2025-04-21,ms_334455,ms-0008,Movie Night Retargeting East Microsoft,50404,499,598.65,5
2025-04-22,ms_334455,ms-0001,Mission: Impossible - Dead Reckoning,99596,986,1162.81,10
2025-04-22,ms_334455,ms-0002,Drama Collection Prospecting West Microsoft,39091,387,456.24,4
2025-04-22,ms_334455,ms-0003,Comedy Classics Retargeting East Microsoft,43636,432,508.73,5
2025-04-22,ms_334455,ms-0004,Sports Weekend Trial Midwest Microsoft,48081,476,561.22,5
2025-04-22,ms_334455,ms-0005,Kids and Family Winback South Microsoft,52626,521,613.71,5
2025-04-22,ms_334455,ms-0006,Reality Launch Awareness US Microsoft,57071,565,666.19,6
2025-04-22,ms_334455,ms-0007,Sci-Fi Vault Prospecting West Microsoft,61616,610,718.68,6
2025-04-22,ms_334455,ms-0008,Movie Night Retargeting East Microsoft,66061,654,771.17,7
2025-04-23,ms_334455,ms-0001,Mission: Impossible - Dead Reckoning,79697,789,914.22,8
2025-04-23,ms_334455,ms-0002,Drama Collection Prospecting West Microsoft,31313,310,358.7,3
2025-04-23,ms_334455,ms-0003,Comedy Classics Retargeting East Microsoft,34848,345,399.97,3
2025-04-23,ms_334455,ms-0004,Sports Weekend Trial Midwest Microsoft,38485,381,441.24,4
